image_name,count,area,pred_values
14654_right.jpeg,0,0,0
1123_left.jpeg,0,0,0
14967_right.jpeg,0,0,0
13176_left.jpeg,0,41,0
15520_left.jpeg,0,1,0
14938_right.jpeg,0,0,0
14692_left.jpeg,0,0,0
15210_left.jpeg,0,0,0
15325_left.jpeg,0,9,0
12998_left.jpeg,0,0,0
14091_right.jpeg,661,8228,1
14594_left.jpeg,661,4,1
15023_right.jpeg,47,924,1
12990_right.jpeg,47,0,1
14981_left.jpeg,47,0,1
15527_right.jpeg,47,0,1
12411_right.jpeg,47,8,1
16585_right.jpeg,47,0,1
12014_left.jpeg,56,6960,1
16340_left.jpeg,56,1,1
13234_left.jpeg,56,112,1
12425_left.jpeg,56,0,1
11176_left.jpeg,56,25,1
15254_right.jpeg,56,1,1
12362_right.jpeg,173,7289,1
15993_right.jpeg,173,0,1
13103_right.jpeg,173,0,1
15563_right.jpeg,25,347,0
14218_right.jpeg,25,11,0
14916_right.jpeg,25,0,0
12023_left.jpeg,25,12,0
13333_right.jpeg,25,0,0
14751_right.jpeg,25,0,0
13341_right.jpeg,25,0,0
15005_right.jpeg,25,6,0
14856_right.jpeg,25,0,0
11847_right.jpeg,25,0,0
12575_right.jpeg,25,0,0
15454_right.jpeg,25,0,0
13811_right.jpeg,25,0,0
12433_left.jpeg,16,139,0
15942_left.jpeg,16,6,0
13150_right.jpeg,16,0,0
15576_right.jpeg,16,83,0
12086_left.jpeg,16,0,0
14041_right.jpeg,23,1456,0
15053_right.jpeg,23,0,0
15546_left.jpeg,23,0,0
13234_right.jpeg,23,57,0
15315_right.jpeg,23,0,0
12128_right.jpeg,129,3645,1
14950_right.jpeg,129,504,1
13567_left.jpeg,129,12,1
14121_right.jpeg,129,3,1
15147_left.jpeg,129,0,1
12474_left.jpeg,87,567,1
14063_right.jpeg,87,11,1
10977_left.jpeg,87,1,1
13309_right.jpeg,87,3,1
15573_left.jpeg,87,2,1
16223_right.jpeg,87,34,1
1196_right.jpeg,87,0,1
16245_right.jpeg,35,3361,1
16030_right.jpeg,35,0,1
11005_left.jpeg,46,907,1
10183_left.jpeg,7,190,0
16148_right.jpeg,21,65,0
13328_left.jpeg,21,0,0
1452_left.jpeg,21,0,0
14227_right.jpeg,21,1,0
13447_left.jpeg,21,1,0
14091_left.jpeg,157,1618,1
15101_right.jpeg,157,1,1
11650_left.jpeg,157,0,1
15011_left.jpeg,157,0,1
13363_left.jpeg,157,5,1
15095_right.jpeg,157,32,1
1544_right.jpeg,157,0,1
11625_right.jpeg,7,20,0
1418_right.jpeg,7,12,0
145_right.jpeg,7,0,0
1162_right.jpeg,18,75,0
16412_right.jpeg,18,0,0
14115_right.jpeg,40,212,1
14504_right.jpeg,40,0,1
13276_right.jpeg,40,0,1
12232_left.jpeg,18,334,0
14718_left.jpeg,18,0,0
12089_right.jpeg,18,0,0
14984_right.jpeg,18,0,0
14213_left.jpeg,102,6742,1
16374_left.jpeg,102,4,1
16341_right.jpeg,102,0,1
14677_right.jpeg,8,45,0
14430_right.jpeg,8,24,0
13270_left.jpeg,8,448,0
12924_left.jpeg,8,0,0
1497_left.jpeg,8,4,0
1430_right.jpeg,8,0,0
15225_left.jpeg,8,8,0
13473_left.jpeg,288,21288,1
15089_right.jpeg,288,0,1
14584_right.jpeg,288,0,1
16206_right.jpeg,288,0,1
16334_right.jpeg,288,117,1
13482_left.jpeg,288,8,1
15001_right.jpeg,372,7156,1
16412_left.jpeg,372,0,1
1418_left.jpeg,372,28,1
14279_right.jpeg,372,233,1
11162_left.jpeg,372,42,1
16027_left.jpeg,372,0,1
14026_right.jpeg,34,528,1
10306_right.jpeg,34,0,1
12859_left.jpeg,34,0,1
11298_right.jpeg,34,190,1
14374_right.jpeg,34,0,1
14530_right.jpeg,34,0,1
10977_right.jpeg,37,3630,1
14672_left.jpeg,37,0,1
15540_right.jpeg,37,0,1
12437_right.jpeg,37,0,1
15060_right.jpeg,37,0,1
1500_right.jpeg,37,0,1
16496_left.jpeg,37,1,1
10468_left.jpeg,37,7,1
15849_left.jpeg,269,16136,1
16324_left.jpeg,32,525,1
13122_right.jpeg,32,0,1
12141_right.jpeg,32,137,1
16036_left.jpeg,32,0,1
15088_right.jpeg,32,5,1
12268_right.jpeg,32,129,1
15439_right.jpeg,108,1609,1
12290_left.jpeg,108,0,1
14915_right.jpeg,108,0,1
14793_right.jpeg,108,0,1
16065_left.jpeg,108,0,1
15368_left.jpeg,108,0,1
11271_left.jpeg,108,8,1
15415_left.jpeg,108,18,1
16201_right.jpeg,108,4,1
13064_right.jpeg,108,73,1
14995_right.jpeg,108,0,1
14253_left.jpeg,297,6420,1
14927_right.jpeg,121,321,1
11013_left.jpeg,81,3525,1
16325_left.jpeg,64,2553,1
15418_right.jpeg,64,0,1
14965_right.jpeg,64,0,1
14940_right.jpeg,64,0,1
14098_left.jpeg,64,72,1
11838_right.jpeg,64,6,1
13113_left.jpeg,64,0,1
14825_left.jpeg,64,0,1
1178_left.jpeg,64,0,1
1422_right.jpeg,64,0,1
14867_right.jpeg,64,0,1
12311_right.jpeg,64,0,1
15322_right.jpeg,250,4534,1
16336_left.jpeg,250,0,1
15200_left.jpeg,250,0,1
15136_left.jpeg,250,10,1
14474_right.jpeg,250,4,1
16205_right.jpeg,250,0,1
15471_right.jpeg,87,2639,1
14262_right.jpeg,98,13159,1
12126_right.jpeg,98,19,1
14805_left.jpeg,98,36,1
15534_left.jpeg,98,1,1
14765_left.jpeg,98,5,1
14631_right.jpeg,98,8,1
15340_right.jpeg,98,0,1
